Precision,Recall,F1,Selected_Count,True_Count,Model,Case,Samples_Per_Regime,Replication
1.0,1.0,1.0,12.0,12.0,Standard Bayesian LASSO,Strong,5000,7
1.0,0.9375,0.964286,3.0,3.25,Proposed Prior,Strong,5000,7
1.0,1.0,1.0,12.0,12.0,Classical LASSO,Strong,10000,7
1.0,1.0,1.0,12.0,12.0,Standard Bayesian LASSO,Strong,10000,7
1.0,0.9375,0.964286,3.0,3.25,Proposed Prior,Strong,10000,7
1.0,0.5,0.666667,4.0,8.0,Classical LASSO,Weak,5000,8
1.0,0.5,0.666667,4.0,8.0,Standard Bayesian LASSO,Weak,5000,8
1.0,0.9,0.944444,4.5,5.0,Proposed Prior,Weak,5000,8
1.0,0.5,0.666667,4.0,8.0,Classical LASSO,Weak,10000,8
1.0,0.5,0.666667,4.0,8.0,Standard Bayesian LASSO,Weak,10000,8
1.0,0.95,0.972222,4.75,5.0,Proposed Prior,Weak,10000,8
1.0,1.0,1.0,12.0,12.0,Classical LASSO,Strong,5000,8
0.923077,1.0,0.96,13.0,12.0,Standard Bayesian LASSO,Strong,5000,8
1.0,0.9375,0.964286,3.0,3.25,Proposed Prior,Strong,5000,8
1.0,1.0,1.0,12.0,12.0,Classical LASSO,Strong,10000,8
0.923077,1.0,0.96,13.0,12.0,Standard Bayesian LASSO,Strong,10000,8
1.0,0.9375,0.964286,3.0,3.25,Proposed Prior,Strong,10000,8
1.0,0.5,0.666667,4.0,8.0,Classical LASSO,Weak,5000,9
1.0,0.5,0.666667,4.0,8.0,Standard Bayesian LASSO,Weak,5000,9
1.0,0.95,0.972222,4.75,5.0,Proposed Prior,Weak,5000,9
1.0,0.5,0.666667,4.0,8.0,Classical LASSO,Weak,10000,9
1.0,0.5,0.666667,4.0,8.0,Standard Bayesian LASSO,Weak,10000,9
1.0,0.95,0.972222,4.75,5.0,Proposed Prior,Weak,10000,9
1.0,1.0,1.0,12.0,12.0,Classical LASSO,Strong,5000,9
1.0,1.0,1.0,12.0,12.0,Standard Bayesian LASSO,Strong,5000,9
1.0,0.9375,0.964286,3.0,3.25,Proposed Prior,Strong,5000,9
1.0,1.0,1.0,12.0,12.0,Classical LASSO,Strong,10000,9
0.857143,1.0,0.923077,14.0,12.0,Standard Bayesian LASSO,Strong,10000,9
1.0,0.9375,0.964286,3.0,3.25,Proposed Prior,Strong,10000,9
1.0,0.5,0.666667,4.0,8.0,Classical LASSO,Weak,5000,10
1.0,0.5,0.666667,4.0,8.0,Standard Bayesian LASSO,Weak,5000,10
1.0,0.95,0.972222,4.75,5.0,Proposed Prior,Weak,5000,10
1.0,0.5,0.666667,4.0,8.0,Classical LASSO,Weak,10000,10
1.0,0.5,0.666667,4.0,8.0,Standard Bayesian LASSO,Weak,10000,10
1.0,0.95,0.972222,4.75,5.0,Proposed Prior,Weak,10000,10
0.923077,1.0,0.96,13.0,12.0,Classical LASSO,Strong,5000,10
0.923077,1.0,0.96,13.0,12.0,Standard Bayesian LASSO,Strong,5000,10
1.0,0.9375,0.964286,3.0,3.25,Proposed Prior,Strong,5000,10
0.923077,1.0,0.96,13.0,12.0,Classical LASSO,Strong,10000,10
1.0,1.0,1.0,12.0,12.0,Standard Bayesian LASSO,Strong,10000,10
1.0,0.9375,0.964286,3.0,3.25,Proposed Prior,Strong,10000,10
